;GDX_materials;XLB_materials;VAW_materials;VFH_financials;XLF_financials;KRE_financials;VCR_consumer_disc;XLY_consumer_disc;IYC_consumer_disc;VDE_energy;XLE_energy;XOP_energy;VHT_healthcare;IBB_healthcare;XLV_healthcare;VPU_utilities;IDU_utilities;XLU_utilities;IYZ_telecom;VOX_telecom;IXP_telecom;VDC_consumer_staples;IEV_consumer_staples;XLP_consumer_staples;VIS_industrials;ITA_industrials;XLI_industrials;QQQ_tech;XLK_tech;VGT_tech;RWR_real_estate;VNQ_real_estate;IYR_real_estate;T10Y2Y;FEDFUNDS;Inverted
2007-05-31;39.16;40.900002;84.75;67.199997;30.787977;47.580002;64.540001;40.099998;;99.790001;68.300003;46.5;62.43;27.126667;36.73;87.5;101.989998;41.84;34.630001;84.300003;72.300003;68.699997;58.700001;27.77;73.900002;62.470001;39.130001;47.41;25.65;57.290001;90.349998;78.949997;85.620003;-0.02;5.25;1
2007-06-30;37.889999;40.5;84.410004;63.849998;29.390739;45.880001;63.470001;39.330002;;101.129997;68.989998;45.869999;60.330002;26.040001;35.310001;82.5;96.300003;39.580002;33.709999;82.639999;71.83000200000002;67.470001;58.465;27.049999;73.83000200000002;62.830002;39.040001;47.599998;25.6;57.619999;81.150002;70.949997;77.41999799999998;0.1223809523809524;5.25;0
2007-07-31;39.939999;39.419998;82.089996;58.759998;26.726238;41.639999;59.830002;37.0;;100.470001;69.0;43.93;57.900002;25.43;33.630001;79.07;92.550003;38.0;33.400002;80.910004;70.160004;65.589996;56.955002;26.280001;74.41999799999998;63.73;39.41;47.529999;25.549999;56.869999;74.489998;65.089996;70.400002;0.18523809523809526;5.26;0
2007-08-31;37.650002;39.150002;82.139999;60.330002;27.416735;44.599998;59.98;37.23;;101.080002;69.83000200000001;43.110001;59.599998;26.35;34.400002;81.349998;94.199997;38.599998;33.189999;80.559998;72.870003;67.25;56.68;26.9;73.959999;65.089996;39.419998;48.869999;26.040001;58.509998;78.699997;69.480003;74.099998;0.3617391304347826;5.02;0
2007-09-30;45.349998;42.110001;87.940002;60.880001;27.879772;44.029999;59.849998;36.830002;;108.660004;74.800003;47.029999;61.43;27.666666;35.349998;83.010002;96.900002;39.799999;33.849998;83.07;77.790001;70.110001;59.599998;27.98;77.010002;69.629997;41.080002;51.41;26.969999;60.599998;81.209999;71.459999;76.470001;0.51;4.94;0
2007-10-31;50.599998;43.860001;91.870003;60.0;27.400488;42.099998;60.049999;36.650002;;111.029999;76.699997;52.91;62.689999;28.870001;36.009998;88.370003;103.050003;42.450001;32.34;82.32;82.93;71.389999;62.299999;28.41;77.57;70.970001;40.549999;55.029999;28.4;64.699997;81.959999;72.959999;77.050003;0.56;4.76;0
2007-11-30;46.360001;41.650002;87.610001;55.720001;25.182777;40.060001;56.439999;34.650002;;106.379997;73.470001;48.52;62.919998;28.086666;36.470001;88.099998;102.75;42.73;29.25;76.57;79.150002;72.75;60.224998;29.190001;74.519997;68.800003;39.400002;51.310001;26.26;59.540001;74.059998;66.050003;70.019997;0.812;4.49;0
2007-12-31;45.830002;41.700001;87.940002;52.650002;23.501219;37.080002;53.18;32.700001;;113.5;79.349998;52.0;60.619999;27.059999;35.310001;87.58000200000002;102.410004;42.330002;29.52;75.269997;77.43;70.790001;57.169998;28.799999;73.089996;67.93;39.16;51.220001;26.66;60.119999;69.300003;61.459999;65.699997;0.9804999999999998;4.24;0
2008-01-31;50.349998;39.950001;83.779999;51.93;23.671812;38.73;51.990002;32.580002;;100.919998;69.599998;48.040001;57.439999;26.066668;33.700001;81.480003;95.349998;39.220001;26.26;67.07;71.730003;67.040001;52.139999;27.200001;69.190002;62.209999;37.0;45.130001;23.25;52.189999;68.720001;60.98;65.769997;1.2685714285714285;3.94;0
2008-02-29;53.119999;40.869999;86.610001;47.25;20.982941;34.25;49.52;31.32;;109.669998;76.050003;54.48;56.200001;25.413334;32.799999;78.449997;92.220001;37.610001;23.610001;61.459999;67.510002;67.029999;51.895;27.129999;67.730003;60.299999;36.25;42.950001;22.15;50.650002;66.33000200000001;59.040001;63.009998;1.7645;2.98;0
2008-03-31;47.700001;40.169998;84.940002;45.759998;20.203087;35.139999;48.950001;30.719999;;106.940002;74.059998;53.75;53.610001;25.26;31.17;78.32;91.949997;37.939999;23.370001;61.880001;67.019997;68.809998;52.505001;27.860001;69.110001;59.07;37.400002;43.720001;22.4;50.84;70.010002;62.389999;65.099998;1.8929999999999996;2.61;0
2008-04-30;43.599998;42.310001;89.980003;48.48;21.616571;34.43;51.110001;31.450001;;118.800003;81.75;58.889999;54.389999;25.873333;31.48;82.5;97.32;39.880001;25.280001;65.870003;69.949997;68.68;54.830002;27.65;71.110001;63.740002;38.5;47.209999;23.799999;54.490002;74.550003;66.370003;68.879997;1.6277272727272731;2.28;0
2008-05-31;46.02;44.509998;95.199997;46.209999;20.113729;33.02;51.560001;32.310001;;124.970001;86.0;64.769997;55.619999;26.5;32.080002;85.68;100.699997;41.310001;26.889999;69.16999799999999;71.400002;69.849998;55.055;28.49;72.610001;64.769997;38.84;50.009998;25.35;57.959999;74.33000200000002;66.230003;69.440002;1.4342857142857142;1.98;0
2008-06-30;48.59;41.73;90.010002;38.009998;16.458164;26.629999;45.040001;28.48;;129.270004;88.480003;70.279999;53.09;25.613333;30.58;83.93;99.110001;40.700001;24.09;62.240002;63.68;65.160004;48.610001;26.75;64.489998;54.240002;34.009998;45.169998;22.91;52.759998;65.459999;58.419998;60.799999;1.3257142857142858;2.0;0
2008-07-31;43.48;40.380001;86.629997;40.900002;17.571081;30.27;45.27;28.530001;;110.599998;74.400002;54.080002;56.310001;29.633333;31.950001;78.639999;92.110001;38.080002;23.26;60.720001;61.830002;67.230003;47.360001;27.4;65.660004;56.310001;34.279999;45.459999;22.35;52.07;67.370003;60.240002;62.299999;1.4345454545454546;2.01;0
2008-08-31;37.639999;39.75;84.290001;40.849998;17.400488;32.099998;48.389999;30.5;;109.849998;74.650002;55.029999;57.369999;28.633333;32.610001000000004;78.220001;91.410004;37.66;23.92;61.98;60.360001;69.059998;45.48;28.139999;66.610001;58.91;35.220001;46.119999;22.75;53.439999;68.769997;61.669998;63.43;1.4652380952380957;2.0;0
2008-09-30;33.790001000000004;33.400002;68.309998;39.279999;16.157595;35.5;44.09;27.9;;93.230003;63.299999;44.830002;53.900002;27.120001;30.049999;68.66999799999999;78.839996;33.23;20.370001;53.349998;54.77;67.949997;39.860001;27.6;58.110001;50.939999;30.799999;38.91;19.85;46.400002;67.57;60.799999;61.950001;1.61;1.81;0
2008-10-31;20.950001;25.92;52.27;30.75;12.61576;32.900002;34.950001;22.98;;74.540001;51.400002;34.009998;46.860001;23.803333;26.6;60.970001;70.480003;28.91;16.190001000000002;45.389999;46.68;60.110001;31.389999;24.120001;46.759998;43.59;25.18;32.889999;16.65;38.07;46.459999;41.509998;42.549999;2.2018181818181817;0.97;0
2008-11-30;26.57;23.15;46.290001;25.77;10.284322;29.66;30.870001;20.49;;72.440002;50.279999;31.08;43.240002;21.783333;24.92;62.639999;71.339996;30.120001;16.530001000000002;45.209999;48.639999;58.400002;29.280001;24.07;42.689999;39.27;23.110001;29.120001;15.25;33.639999;35.34;32.080002;33.380001;2.3138888888888887;0.39;0
