Date;VHT;IBB;XLV
1998-12-31;;;26.0
1999-01-31;;;27.25
1999-02-28;;;27.28125
1999-03-31;;;28.0
1999-04-30;;;29.0
1999-05-31;;;28.109375
1999-06-30;;;29.34375
1999-07-31;;;28.46875
1999-08-31;;;27.1875
1999-09-30;;;26.8125
1999-10-31;;;28.171875
1999-11-30;;;28.5
1999-12-31;;;30.890625
2000-01-31;;;30.109375
2000-02-29;;;28.140625
2000-03-31;;;30.671875
2000-04-30;;;30.3125
2000-05-31;;;29.5
2000-06-30;;;29.5625
2000-07-31;;;29.125
2000-08-31;;;30.15625
2000-09-30;;;29.0625
2000-10-31;;;29.5
2000-11-30;;;26.8125
2000-12-31;;;27.25
2001-01-31;;;29.219998999999998
2001-02-28;;32.302082;28.66
2001-03-31;;25.46875;26.82
2001-04-30;;30.416665999999996;28.799999
2001-05-31;;33.049999;29.9
2001-06-30;;33.266666;29.549999
2001-07-31;;29.0;28.959999
2001-08-31;;29.266665999999997;27.49
2001-09-30;;24.783333;23.5
2001-10-31;;28.766665999999997;23.620001000000002
2001-11-30;;31.516665999999997;26.360001
2001-12-31;;30.35;26.950001
2002-01-31;;26.1;26.75
2002-02-28;;24.816668;27.98
2002-03-31;;25.700001;29.59
2002-04-30;;21.633333;29.41
2002-05-31;;19.316668;29.82
2002-06-30;;17.0;27.68
2002-07-31;;17.200001;26.879998999999998
2002-08-31;;16.333334;27.139999
2002-09-30;;15.416667000000002;25.379998999999998
2002-10-31;;17.033333;26.860001
2002-11-30;;18.626667;27.690001000000002
2002-12-31;;16.450001;26.549999
2003-01-31;;16.190001000000002;26.459999
2003-02-28;;15.95;25.870001000000002
2003-03-31;;17.066668;26.719998999999998
2003-04-30;;19.1;27.6
2003-05-31;;22.686666;28.17
2003-06-30;;22.33;29.33
2003-07-31;;24.383333;28.889999
2003-08-31;;24.586666;27.82
2003-09-30;;23.916666;27.809998999999998
2003-10-31;;23.663334;28.0
2003-11-30;;23.116667;28.6
2003-12-31;;23.983334;30.15
2004-01-31;50.049999;25.616667;30.98
2004-02-29;50.68;25.833334;31.309998999999998
2004-03-31;48.959998999999996;25.763334;29.93
2004-04-30;50.650002;25.92;30.860001
2004-05-31;50.259997999999996;25.200001;30.76
2004-06-30;50.279999;25.033333;30.559998999999998
2004-07-31;46.959998999999996;22.616667;28.92
2004-08-31;47.709998999999996;22.566668;29.389999
2004-09-30;47.389998999999996;23.309998999999998;28.790001
2004-10-31;46.509997999999996;22.690001000000002;28.15
2004-11-30;47.669998;23.5;28.700001
2004-12-31;50.279999;25.133333;30.190001000000002
2005-01-31;48.630001;23.746666;29.25
2005-02-28;50.130001;22.766666;30.129998999999998
2005-03-31;49.869999;21.183332;29.860001
2005-04-30;51.48;21.156666;30.9
2005-05-31;52.349998;22.233334;31.290001
2005-06-30;52.380001;22.633333;31.030001000000002
2005-07-31;53.880001;25.333334;31.73
2005-08-31;53.75;25.42;31.620001000000002
2005-09-30;53.459998999999996;25.666666;31.35
2005-10-31;51.950001;24.746666;30.389999
2005-11-30;53.0;25.57;30.76
2005-12-31;54.02;25.746666;31.719998999999998
2006-01-31;55.029999;26.77;32.130001
2006-02-28;55.619999;28.036666999999998;32.5
2006-03-31;55.209998999999996;27.459999;31.98
2006-04-30;53.400002;25.883333;30.99
2006-05-31;52.09;24.4;30.34
2006-06-30;52.349998;24.233334;30.24
2006-07-31;54.450001;23.83;31.889999
2006-08-31;55.970001;24.58;32.799999
2006-09-30;56.630001;24.593334;33.189999
2006-10-31;57.139998999999996;26.52;33.299999
2006-11-30;57.119999;26.693333000000003;33.259997999999996
2006-12-31;56.939999;25.92;33.490002000000004
2007-01-31;58.830002;26.613333;34.509997999999996
2007-02-28;57.639998999999996;25.743334;33.709998999999996
2007-03-31;57.810001;25.26;33.650002
2007-04-30;61.369999;27.306666999999997;36.110001000000004
2007-05-31;62.43;27.126666999999998;36.73
2007-06-30;60.330002;26.040001;35.310001
2007-07-31;57.900002;25.43;33.630001
2007-08-31;59.599998;26.35;34.400002
2007-09-30;61.43;27.666665999999996;35.349998
2007-10-31;62.689999;28.870001000000002;36.009997999999996
2007-11-30;62.919998;28.086665999999997;36.470001
2007-12-31;60.619999;27.059998999999998;35.310001
2008-01-31;57.439999;26.066668;33.700001
2008-02-29;56.200001;25.413334;32.799999
2008-03-31;53.610001000000004;25.26;31.17
2008-04-30;54.389998999999996;25.873333;31.48
2008-05-31;55.619999;26.5;32.080002
2008-06-30;53.09;25.613332999999997;30.58
2008-07-31;56.310001;29.633333;31.950001
2008-08-31;57.369999;28.633333;32.610001000000004
2008-09-30;53.900002;27.120001000000002;30.049999
2008-10-31;46.860001000000004;23.803333;26.6
2008-11-30;43.240002000000004;21.783333;24.92
2008-12-31;45.700001;23.683332;26.549999
2009-01-31;44.919998;23.576666;26.23
2009-02-28;39.619999;21.023332999999997;22.98
2009-03-31;41.950001;22.116667;24.209999
2009-04-30;42.310001;21.83;24.18
2009-05-31;44.990002000000004;22.543332999999997;25.83
2009-06-30;46.540001000000004;24.253334;26.309998999999998
2009-07-31;49.279999;26.25;27.870001000000002
2009-08-31;50.330002;26.093334;28.620001000000002
2009-09-30;51.349998;27.120001000000002;28.67
2009-10-31;49.810001;24.459999;28.07
2009-11-30;54.169998;26.136667000000003;30.68
2009-12-31;54.189999;27.276667;31.07
2010-01-31;54.419998;27.76;31.280001000000002
2010-02-28;54.709998999999996;28.466666999999998;31.4
2010-03-31;56.689999;30.313334;32.130001
2010-04-30;55.150002;30.41;30.879998999999998
2010-05-31;51.330002;27.076665999999996;28.870001000000002
2010-06-30;50.240002000000004;25.84;28.200001
2010-07-31;50.73;27.01;28.57
2010-08-31;49.689999;26.193333;28.1
2010-09-30;54.529999;28.746665999999998;30.49
2010-10-31;55.580002;29.766665999999997;31.17
2010-11-30;54.299999;29.133333;30.27
2010-12-31;56.25;31.139999;31.5
2011-01-31;56.700001;31.24;31.68
2011-02-28;58.669998;31.559998999999998;32.669998
2011-03-31;60.040001000000004;33.386665;33.110001000000004
2011-04-30;63.889998999999996;35.816666;35.240002000000004
2011-05-31;65.129997;36.453334999999996;36.110001000000004
2011-06-30;64.150002;35.553333;35.529999
2011-07-31;61.650002;34.633334999999995;34.119999
2011-08-31;59.59;32.07;33.400002
2011-09-30;56.689999;31.116667;31.73
2011-10-31;60.099998;32.743332;33.560001
2011-11-30;60.66;34.066666;33.880001
2011-12-31;61.209998999999996;34.783333;34.689999
2012-01-31;63.759997999999996;38.666668;35.799999
2012-02-29;64.83000200000001;39.686668;36.18
2012-03-31;67.57;41.099998;37.610001000000004
2012-04-30;67.300003;41.796665000000004;37.509997999999996
2012-05-31;65.050003;41.07;36.150002
2012-06-30;68.889999;43.32;38.009997999999996
2012-07-31;69.32;44.603333;38.389998999999996
2012-08-31;70.480003;45.459998999999996;38.84
2012-09-30;73.209999;47.529999;40.119999
2012-10-31;72.230003;43.956665;40.029999
2012-11-30;72.93;46.25;40.240002000000004
2012-12-31;71.66999799999999;45.740002000000004;39.880001
2013-01-31;77.120003;48.526669;42.91
2013-02-28;78.099998;49.263332;43.450001
2013-03-31;82.91999799999999;53.310001;45.950001
2013-04-30;85.279999;57.436668000000004;47.330002
2013-05-31;86.93;59.83333199999999;48.110001000000004
2013-06-30;86.389999;57.959998999999996;47.610001000000004
2013-07-31;92.989998;65.943336;51.02
2013-08-31;89.849998;64.58000200000001;49.220001
2013-09-30;93.139999;69.86666899999999;50.59
2013-10-31;96.540001;68.443336;52.77
2013-11-30;101.41999799999999;74.720001;55.259997999999996
2013-12-31;101.099998;75.68666800000001;55.439999
2014-01-31;102.989998;81.970001;55.959998999999996
2014-02-28;109.110001;88.139999;59.439999
2014-03-31;106.91999799999999;78.800003;58.490002000000004
2014-04-30;105.489998;76.75;58.119999
2014-05-31;108.5;79.86333499999999;59.790001000000004
2014-06-30;111.629997;85.676666;60.830002
2014-07-31;111.33000200000001;83.610001;60.91
2014-08-31;117.16999799999999;92.183334;63.860001000000004
2014-09-30;116.989998;91.209999;63.91
2014-10-31;123.730003;98.873337;67.269997
2014-11-30;127.779999;101.300003;69.610001
2014-12-31;125.589996;101.11666899999999;69.370003
2015-01-31;127.709999;107.21666699999999;70.940002
2015-02-28;133.619995;112.489998;72.239998
2015-03-31;135.520004;114.476669;74.690002
2015-04-30;132.830002;111.220001;74.230003
2015-05-31;139.820007;121.676666;74.260002
2015-06-30;139.96000700000002;122.989998;74.389999
2015-07-31;143.979996;127.510002;77.050003
2015-08-31;132.380005;113.99666599999999;70.489998
2015-09-30;122.559998;101.110001;66.230003
2015-10-31;130.929993;108.48666399999999;71.400002
2015-11-30;131.809998;111.45666499999999;71.110001
2015-12-31;132.880005;112.776665;72.029999
2016-01-31;120.510002;89.01666999999999;66.470001
2016-02-29;119.879997;84.696663;66.230003
2016-03-31;123.300003;86.93666800000001;67.779999
2016-04-30;127.059998;89.316666;69.790001
2016-05-31;130.080002;93.256668;71.349998
2016-06-30;130.490005;85.779999;71.709999
2016-07-31;137.559998;96.480003;75.199997
2016-08-31;133.179993;93.629997;72.760002
2016-09-30;132.889999;96.486664;72.110001
2016-10-31;123.349998;85.559998;67.360001
2016-11-30;126.650002;91.356667;68.75
2016-12-31;126.769997;88.459999;68.940002
2017-01-31;130.139999;92.690002;70.519997
2017-02-28;138.490005;99.07666800000001;74.989998
2017-03-31;137.820007;97.756668;74.360001
2017-04-30;140.130005;99.21333299999999;75.5
2017-05-31;140.820007;95.25;76.08000200000001
2017-06-30;147.369995;103.360001;79.239998
2017-07-31;148.25;106.363335;79.889999
2017-08-31;151.059998;111.11666899999999;81.290001
2017-09-30;152.279999;111.19666299999999;81.730003
2017-10-31;151.139999;104.726669;81.110001
2017-11-30;155.490005;310.809998;83.470001
2017-12-31;154.139999;106.769997;82.68
2018-01-31;164.600006;114.08000200000001;88.099998
2018-02-28;157.699997;108.08000200000001;84.139999
2018-03-31;153.529999;106.739998;81.400002
2018-04-30;154.929993;103.650002;82.260002
2018-05-31;157.309998;108.449997;82.410004
2018-06-30;159.139999;109.82;83.459999
2018-07-31;168.610001;116.489998;88.93
2018-08-31;177.059998;122.190002;92.779999
2018-09-30;180.41000400000001;121.940002;95.150002
2018-10-31;166.529999;104.07;88.699997
2018-11-30;177.399994;109.099998;95.870003
2018-12-31;160.600006;96.43;86.510002
2019-01-31;170.130005;109.690002;90.66999799999999
2019-02-28;172.919998;112.739998;91.650002
2019-03-31;172.479996;111.800003;91.75
2019-04-30;167.830002;106.41999799999999;89.260002
2019-05-31;163.33999599999999;99.980003;87.279999
2019-06-30;173.940002;109.099998;92.639999
2019-07-31;171.669998;105.660004;91.139999
2019-08-31;169.649994;102.93;90.599998
2019-09-30;167.199997;100.08000200000001;89.730003
