Date;QQQ;XLK;VGT
1998-12-31;;32.625;
1999-01-31;;37.8125;
1999-02-28;;34.0625;
1999-03-31;52.46875;36.59375;
1999-04-30;53.71875;36.8125;
1999-05-31;52.03125;36.9375;
1999-06-30;57.625;40.484375;
1999-07-31;56.59375;40.015625;
1999-08-31;59.6875;41.421875;
1999-09-30;60.1875;41.25;
1999-10-31;65.75;42.5;
1999-11-30;73.5;46.671875;
1999-12-31;91.375;53.875;
2000-01-31;89.6875;50.5625;
2000-02-29;106.75;55.875;
2000-03-31;109.5;60.5625;
2000-04-30;94.75;55.0;
2000-05-31;83.125;49.28125;
2000-06-30;93.4375;54.1875;
2000-07-31;89.4375;51.3125;
2000-08-31;101.625;56.53125;
2000-09-30;88.75;46.375;
2000-10-31;81.703125;43.71875;
2000-11-30;62.984375;34.75;
2000-12-31;58.375;31.3125;
2001-01-31;64.300003;37.299999;
2001-02-28;47.450001;28.01;
2001-03-31;39.150002;24.799999;
2001-04-30;46.150002;28.809998999999998;
2001-05-31;44.73;27.629998999999998;
2001-06-30;45.700001;28.17;
2001-07-31;41.759997999999996;26.219998999999998;
2001-08-31;36.630001;23.02;
2001-09-30;28.98;19.25;
2001-10-31;33.900002;21.35;
2001-11-30;39.650002;24.540001;
2001-12-31;38.91;24.0;
2002-01-31;38.509997999999996;23.74;
2002-02-28;33.779999;20.65;
2002-03-31;36.060001;21.67;
2002-04-30;31.73;19.049999;
2002-05-31;30.040001;18.26;
2002-06-30;26.1;15.82;
2002-07-31;23.85;14.32;
2002-08-31;23.49;14.2;
2002-09-30;20.719998999999998;11.83;
2002-10-31;24.549999;14.76;
2002-11-30;27.719998999999998;17.1;
2002-12-31;24.370001000000002;14.8;
2003-01-31;24.440001000000002;14.45;
2003-02-28;25.16;14.52;
2003-03-31;25.25;14.3;
2003-04-30;27.450001;15.61;
2003-05-31;29.790001;16.950001;
2003-06-30;29.950001;17.07;
2003-07-31;31.799999;17.6;
2003-08-31;33.389998999999996;18.440001000000002;
2003-09-30;32.419998;18.280001000000002;
2003-10-31;35.18;19.620001000000002;
2003-11-30;35.380001;19.9;
2003-12-31;36.459998999999996;20.379998999999998;
2004-01-31;37.07;21.25;49.080002
2004-02-29;36.57;20.709999;47.25
2004-03-31;35.84;20.16;46.029999
2004-04-30;34.77;19.389999;43.529999
2004-05-31;36.549999;20.15;45.669998
2004-06-30;37.740002000000004;20.700001;46.59
2004-07-31;34.889998999999996;19.440001000000002;42.639998999999996
2004-08-31;34.02;18.58;40.68
2004-09-30;35.139998999999996;19.120001000000002;41.720001
2004-10-31;36.900002;19.959999;43.950001
2004-11-30;39.119999;20.98;46.439999
2004-12-31;39.919998;21.110001;47.060001
2005-01-31;37.400002;19.92;44.240002000000004
2005-02-28;37.220001;19.950001;44.490002000000004
2005-03-31;36.57;19.559998999999998;43.450001
2005-04-30;34.98;18.870001000000002;41.5
2005-05-31;38.080002;20.18;45.099998
2005-06-30;36.779999;19.92;44.400002
2005-07-31;39.580002;21.049999;47.040001000000004
2005-08-31;38.98;20.85;46.759997999999996
2005-09-30;39.459998999999996;20.9;47.09
2005-10-31;38.869999;20.42;46.130001
2005-11-30;41.240002000000004;21.709999;49.380001
2005-12-31;40.41;20.9;48.380001
2006-01-31;42.0;21.6;50.330002
2006-02-28;41.099998;21.65;49.77
2006-03-31;41.93;22.139999;50.939999
2006-04-30;41.849998;21.85;50.509997999999996
2006-05-31;38.82;20.43;46.75
2006-06-30;38.77;20.33;46.23
2006-07-31;37.099998;19.799999;44.330002
2006-08-31;38.869999;21.190001000000002;47.689999
2006-09-30;40.650002;22.0;49.450001
2006-10-31;42.580002;22.870001000000002;51.419998
2006-11-30;44.040001000000004;23.52;53.209998999999996
2006-12-31;43.16;23.26;52.529999
2007-01-31;44.07;23.73;53.34
2007-02-28;43.330002;23.09;52.16
2007-03-31;43.529999;23.32;52.380001
2007-04-30;45.959998999999996;24.42;55.0
2007-05-31;47.41;25.65;57.290001000000004
2007-06-30;47.599998;25.6;57.619999
2007-07-31;47.529999;25.549999;56.869999
2007-08-31;48.869999;26.040001;58.509997999999996
2007-09-30;51.41;26.969998999999998;60.599998
2007-10-31;55.029999;28.4;64.699997
2007-11-30;51.310001;26.26;59.540001000000004
2007-12-31;51.220001;26.66;60.119999
2008-01-31;45.130001;23.25;52.189999
2008-02-29;42.950001;22.15;50.650002
2008-03-31;43.720001;22.4;50.84
2008-04-30;47.209998999999996;23.799999;54.490002000000004
2008-05-31;50.009997999999996;25.35;57.959998999999996
2008-06-30;45.169998;22.91;52.759997999999996
2008-07-31;45.459998999999996;22.35;52.07
2008-08-31;46.119999;22.75;53.439999
2008-09-30;38.91;19.85;46.400002
2008-10-31;32.889998999999996;16.65;38.07
2008-11-30;29.120001000000002;15.25;33.639998999999996
2008-12-31;29.74;15.41;34.049999
2009-01-31;29.059998999999998;14.68;32.900002
2009-02-28;27.530001000000002;14.12;31.57
2009-03-31;30.32;15.62;35.23
2009-04-30;34.279999;17.25;39.790001000000004
2009-05-31;35.380001;17.65;40.82
2009-06-30;36.380001;18.209999;42.580002
2009-07-31;39.450001;19.700001;46.52
2009-08-31;40.029999;20.02;47.689999
2009-09-30;42.25;20.870001000000002;49.900002
2009-10-31;40.959998999999996;20.610001;49.310001
2009-11-30;43.560001;21.75;51.889998999999996
2009-12-31;45.75;22.93;54.869999
