Date,Open,High,Low,Close,Adj Close,Volume
2000-07-01,38.734375,39.031250,38.250000,39.031250,23.632570,94000
2000-08-01,38.937500,39.750000,37.304688,39.531250,23.935314,645400
2000-09-01,40.343750,40.375000,37.093750,38.132813,23.088589,533000
2000-10-01,38.406250,38.625000,34.875000,36.406250,22.094040,638800
2000-11-01,36.593750,37.718750,35.875000,36.218750,21.980253,754000
2000-12-01,36.531250,38.406250,36.500000,38.343750,23.269859,1578200
2001-01-01,38.375000,40.250000,36.875000,38.250000,23.215706,2281600
2001-02-01,38.125000,38.240002,33.625000,34.310001,20.824339,1100600
2001-03-01,34.080002,35.575001,29.510000,32.240002,19.567959,1557800
2001-04-01,32.250000,34.470001,30.900000,34.220001,20.795900,1287000
2001-05-01,34.220001,34.814999,32.660000,33.450001,20.327961,989600
2001-06-01,33.250000,33.540001,30.750000,31.600000,19.203693,1009800
2001-07-01,31.575001,32.009998,29.735001,31.400000,19.228136,878600
2001-08-01,31.250000,31.674999,30.150000,30.500000,18.677011,739200
2001-09-01,29.945000,30.000000,22.760000,27.174999,16.640909,1046800
2001-10-01,26.950001,28.725000,26.150000,27.775000,17.008327,1258000
2001-11-01,28.125000,29.775000,28.025000,28.850000,17.732210,2261600
2001-12-01,28.549999,30.355000,28.385000,29.545000,18.159372,2283200
2002-01-01,29.924999,30.350000,27.629999,28.280001,17.424215,3442200
2002-02-01,28.415001,28.530001,27.025000,28.125000,17.328714,1182200
2002-03-01,28.275000,30.084999,28.125000,29.500000,18.175894,13633600
2002-04-01,29.924999,30.350000,28.764999,29.540001,18.200541,2316400
2002-05-01,29.500000,30.389999,29.059999,29.165001,17.969494,2095800
2002-06-01,29.174999,29.434999,26.625000,28.250000,17.405727,2341200
2002-07-01,28.600000,28.615000,22.049999,25.825001,15.911614,5167600
2002-08-01,24.910000,26.620001,23.155001,25.030001,15.421784,3274000
2002-09-01,24.525000,25.150000,20.700001,22.049999,13.585711,3674000
2002-10-01,22.100000,24.344999,20.910000,23.924999,14.740960,17563200
2002-11-01,23.600000,25.545000,23.555000,25.174999,15.511125,4085400
2002-12-01,25.639999,25.645000,22.855000,23.740000,14.626978,4338800
2003-01-01,23.889999,24.850000,21.754999,22.844999,14.393326,4707200
2003-02-01,22.950001,23.180000,21.105000,21.655001,13.643578,3236400
2003-03-01,22.215000,23.035000,19.760000,21.465000,13.523872,4417600
2003-04-01,21.700001,24.615000,21.580000,24.495001,15.432895,3239800
2003-05-01,24.275000,26.340000,24.084999,26.174999,16.491371,3211200
2003-06-01,26.215000,27.969999,26.105000,26.389999,16.626827,2931600
2003-07-01,26.000000,27.264999,25.750000,26.670000,16.803246,3153600
2003-08-01,26.670000,27.385000,26.280001,26.510000,16.702431,3212800
2003-09-01,27.014999,28.290001,26.875000,27.135000,17.096212,3178400
2003-10-01,27.375000,29.420000,27.350000,29.049999,18.302738,2248000
2003-11-01,29.450001,30.420000,28.705000,30.225000,19.043043,2414800
2003-12-01,30.535000,32.235001,30.455000,32.075001,20.208626,3477600
2004-01-01,32.520000,33.799999,32.275002,32.625000,20.824823,4037200
2004-02-01,32.645000,34.599998,32.450001,33.705002,21.514198,2779200
2004-03-01,33.895000,34.115002,31.100000,32.509998,20.751419,5355200
2004-04-01,32.575001,33.325001,31.754999,31.900000,20.362053,3112800
2004-05-01,32.025002,32.930000,30.799999,32.529999,20.764181,2797000
2004-06-01,32.490002,33.525002,32.060001,33.259998,21.230148,2187000
2004-07-01,33.119999,33.220001,31.350000,32.000000,20.425882,2144400
2004-08-01,31.969999,32.345001,31.105000,32.345001,20.646099,2042200
2004-09-01,32.150002,33.634998,32.145000,33.345001,21.284412,2880800
2004-10-01,33.570000,34.744999,33.250000,34.744999,22.178040,3730600
2004-11-01,34.799999,37.345001,34.724998,36.884998,23.544022,6163400
2004-12-01,37.320000,37.950001,36.825001,37.625000,24.016373,4773600
2005-01-01,37.744999,37.900002,36.099998,37.020000,24.059591,4277400
2005-02-01,37.115002,39.000000,36.980000,38.650002,25.118940,3730200
2005-03-01,38.744999,39.375000,37.285000,37.700001,24.501526,5440600
2005-04-01,38.099998,38.480000,36.400002,37.075001,24.095339,4191600
2005-05-01,37.000000,37.794998,36.325001,36.865002,23.958855,3163400
2005-06-01,36.900002,37.965000,36.825001,37.250000,24.209063,3114800
2005-07-01,37.400002,38.805000,36.494999,38.485001,25.011705,2750600
2005-08-01,39.084999,40.474998,38.584999,39.650002,25.768848,3133800
2005-09-01,39.840000,40.840000,39.435001,40.275002,26.175043,3613600
2005-10-01,40.145000,40.310001,37.884998,39.049999,25.378901,3761200
2005-11-01,39.270000,40.365002,38.915001,39.650002,25.768848,4660000
2005-12-01,39.950001,41.705002,39.950001,40.384998,26.246525,5035800
2006-01-01,41.160000,42.980000,41.000000,42.730000,28.414364,8624000
2006-02-01,42.965000,43.250000,41.820000,42.814999,28.470892,4943600
2006-03-01,43.150002,44.884998,42.349998,44.424999,29.541492,7863200
2006-04-01,44.474998,46.845001,44.130001,46.740002,31.080919,6217000
2006-05-01,47.025002,48.400002,43.645000,45.349998,30.156601,8151600
2006-06-01,44.775002,46.244999,41.564999,45.674999,30.372717,9677400
2006-07-01,45.825001,46.700001,42.875000,46.575001,30.971193,8521200
2006-08-01,46.250000,48.185001,45.875000,47.974998,31.902164,7516000
2006-09-01,48.075001,48.490002,46.500000,48.294998,32.114952,5540600
2006-10-01,48.334999,50.494999,48.060001,50.174999,33.365108,6941000
2006-11-01,50.570000,52.064999,49.965000,51.974998,34.562061,5696200
2006-12-01,52.064999,53.529999,51.430000,52.485001,34.901196,6358400
2007-01-01,53.044998,53.415001,51.099998,53.084999,36.007084,8782000
2007-02-01,53.395000,54.919998,51.520000,52.400002,35.542458,7610400
2007-03-01,51.299999,54.349998,49.525002,54.169998,36.743031,9691000
2007-04-01,54.375000,57.910000,54.134998,57.450001,38.967827,12677600
2007-05-01,57.610001,58.945000,56.724998,58.700001,39.815689,11554400
2007-06-01,59.035000,59.404999,56.345001,58.465000,39.656292,8809400
2007-07-01,58.775002,60.950001,54.455002,56.955002,38.632076,17759400
2007-08-01,56.715000,58.380001,51.520000,56.680000,38.445541,20563800
2007-09-01,56.445000,59.674999,55.244999,59.599998,40.426147,9748200
2007-10-01,59.435001,62.535000,58.660000,62.299999,42.257545,12507600
2007-11-01,61.255001,61.320000,57.494999,60.224998,40.850086,11202600
2007-12-01,60.150002,61.514999,56.474998,57.169998,38.777901,14754200
2008-01-01,57.855000,57.855000,47.240002,52.139999,36.340458,39031000
2008-02-01,52.564999,53.965000,48.709999,51.895000,36.169708,47910800
2008-03-01,51.730000,53.105000,49.259998,52.505001,36.594864,23799000
2008-04-01,52.965000,55.490002,52.939999,54.830002,38.215336,14911400
2008-05-01,54.549999,56.615002,54.494999,55.055000,38.372154,20897600
2008-06-01,54.439999,54.584999,48.215000,48.610001,33.880131,18488200
2008-07-01,47.785000,48.605000,45.279999,47.360001,33.889442,18406000
2008-08-01,47.279999,48.110001,44.250000,45.480000,32.544174,8666300
2008-09-01,45.470001,50.389999,36.000000,39.860001,28.522676,15764000
2008-10-01,39.450001,40.099998,26.240000,31.389999,22.461775,24144600
2008-11-01,31.120001,33.529999,24.559999,29.280001,20.951923,9101400
2008-12-01,27.860001,31.969999,24.709999,31.139999,22.282883,19904200
2009-01-01,30.959999,31.799999,25.010000,26.549999,19.238571,12217200
2009-02-01,25.700001,28.410000,23.350000,23.719999,17.187908,11117700
2009-03-01,22.879999,27.070000,21.180000,25.580000,18.535694,28088900
2009-04-01,25.250000,29.379999,25.250000,28.840000,20.897949,7646400
2009-05-01,29.139999,32.750000,28.910000,32.700001,23.694969,10096300
2009-06-01,33.500000,33.970001,30.200001,31.379999,22.738470,8801300
2009-07-01,31.820000,34.889999,29.400000,34.810001,25.791416,8330100
2009-08-01,35.380001,37.380001,34.070000,36.689999,27.184345,6421100
2009-09-01,36.160000,39.639999,35.250000,38.540001,28.555040,10039600
2009-10-01,38.060001,40.680000,36.779999,37.660000,27.903042,8129600
2009-11-01,37.900002,41.049999,37.139999,39.330002,29.140371,6457200
2009-12-01,40.000000,40.680000,38.029999,38.959999,28.866232,6614700
2010-01-01,39.840000,40.790001,36.299999,36.389999,27.168009,7362500
2010-02-01,36.970001,37.869999,34.259998,36.020000,26.891777,7765900
2010-03-01,35.959999,38.830002,35.779999,38.340000,28.623831,6514400
