Date,Open,High,Low,Close,Adj Close,Volume
2006-06-01,34.400002,39.070000,34.110001,38.990002,34.752403,172400
2006-07-01,39.250000,39.950001,36.310001,39.849998,35.518932,605400
2006-08-01,40.250000,41.119999,38.340000,38.639999,34.440430,335600
2006-09-01,38.849998,39.540001,33.310001,35.529999,31.668451,3718900
2006-10-01,35.380001,38.790001,32.900002,37.660000,33.573662,2231200
2006-11-01,37.220001,41.369999,36.619999,41.209999,36.738468,773300
2006-12-01,41.049999,41.630001,38.049999,38.070000,33.939171,438900
2007-01-01,37.590000,39.380001,35.369999,39.220001,34.992493,2457000
2007-02-01,39.419998,40.310001,38.360001,38.660000,34.492859,882600
2007-03-01,37.849998,41.080002,37.169998,40.730000,36.339729,1789400
2007-04-01,40.889999,44.279999,40.740002,43.250000,38.611217,1198400
2007-05-01,43.330002,46.669998,43.139999,46.500000,41.512619,2607100
2007-06-01,47.000000,49.110001,44.389999,45.869999,40.950203,3660300
2007-07-01,46.009998,48.529999,43.259998,43.930000,39.244331,4982900
2007-08-01,44.160000,45.119999,40.299999,43.110001,38.511806,6027900
2007-09-01,43.430000,48.000000,43.189999,47.029999,42.013687,3446300
2007-10-01,47.410000,52.910000,47.270000,52.910000,47.287476,4585000
2007-11-01,52.080002,53.599998,46.849998,48.520000,43.363987,5114500
2007-12-01,48.840000,52.880001,48.119999,52.000000,46.474167,3459000
2008-01-01,52.810001,53.500000,42.310001,48.040001,42.962574,8318400
2008-02-01,48.250000,55.990002,46.529999,54.480000,48.721901,12735100
2008-03-01,54.700001,55.599998,47.330002,53.750000,48.069061,6359700
2008-04-01,53.580002,62.240002,53.240002,58.889999,52.697357,4942700
2008-05-01,58.750000,68.059998,56.299999,64.769997,57.959042,18462300
2008-06-01,65.300003,71.660004,64.500000,70.279999,62.889648,16947400
2008-07-01,69.790001,73.040001,51.619999,54.080002,48.430981,39387800
2008-08-01,54.000000,57.130001,49.150002,55.029999,49.281746,48241100
2008-09-01,53.810001,53.810001,40.820000,44.830002,40.147194,34059500
2008-10-01,44.939999,44.939999,23.820000,34.009998,30.497484,26412600
2008-11-01,34.270000,35.459999,22.900000,31.080000,27.870096,25020000
2008-12-01,29.420000,31.719999,22.889999,29.639999,26.578817,48177900
2009-01-01,29.670000,34.619999,26.959999,29.910000,26.899492,53712100
2009-02-01,29.290001,33.160000,24.770000,26.010000,23.392036,54107600
2009-03-01,25.160000,30.309999,23.020000,26.600000,23.922655,70996800
2009-04-01,26.350000,31.980000,26.059999,30.860001,27.810493,39943200
2009-05-01,30.940001,36.849998,30.799999,36.130001,32.559723,41117400
2009-06-01,37.000000,38.880001,30.059999,31.719999,28.585506,50619600
2009-07-01,32.090000,35.369999,27.900000,34.919998,31.538296,46489100
2009-08-01,35.439999,37.049999,33.580002,35.209999,31.800224,44230400
2009-09-01,35.189999,40.240002,34.119999,38.660000,34.916122,39079000
2009-10-01,38.740002,44.169998,36.160000,38.450001,34.792507,48365700
2009-11-01,38.790001,41.080002,37.650002,38.410000,34.756317,47893100
2009-12-01,38.939999,42.619999,36.950001,41.209999,37.289970,40242200
2010-01-01,41.900002,44.619999,39.400002,39.459999,35.773289,66668800
2010-02-01,40.040001,42.529999,38.160000,41.029999,37.196598,73048400
2010-03-01,41.310001,43.970001,40.330002,42.130001,38.193829,101620100
2010-04-01,42.709999,45.950001,42.500000,44.680000,40.531364,115579300
2010-05-01,44.770000,45.930000,37.020000,40.970001,37.165848,150371000
2010-06-01,40.180000,44.919998,38.889999,38.990002,35.369698,115082800
2010-07-01,38.849998,41.900002,37.580002,40.580002,36.858257,98045400
2010-08-01,41.310001,42.970001,37.439999,38.520000,34.987183,75446300
2010-09-01,39.310001,42.740002,39.139999,42.259998,38.384174,75056500
2010-10-01,42.470001,45.340000,41.939999,43.849998,39.870354,74993400
2010-11-01,44.779999,48.950001,44.189999,48.240002,43.861931,89458700
2010-12-01,49.189999,53.090000,48.860001,52.750000,47.962620,53908600
2011-01-01,53.430000,56.750000,52.240002,56.750000,51.674068,56465800
2011-02-01,56.930000,62.220001,56.610001,61.689999,56.172230,73205800
2011-03-01,62.080002,65.059998,56.410000,64.419998,58.658058,102166300
2011-04-01,65.139999,65.760002,59.439999,63.720001,58.333878,61381300
2011-05-01,63.910000,64.129997,55.369999,60.900002,55.752258,166966900
2011-06-01,60.759998,61.150002,53.970001,58.779999,53.811447,146827800
2011-07-01,58.910000,65.580002,57.310001,62.200001,56.980629,119295700
2011-08-01,63.500000,63.720001,45.700001,53.669998,49.166382,210013800
2011-09-01,53.630001,54.540001,42.799999,42.860001,39.263508,153523500
2011-10-01,42.410000,57.680000,37.669998,53.849998,49.399082,194343000
2011-11-01,51.400002,57.669998,48.139999,55.169998,50.609970,144034900
2011-12-01,54.910000,56.900002,48.380001,52.689999,48.334949,108969100
2012-01-01,54.240002,57.320000,52.250000,54.580002,50.227085,83740400
2012-02-01,55.150002,61.770000,54.180000,59.320000,54.589035,85865100
2012-03-01,59.709999,61.810001,55.700001,56.910000,52.371243,93881100
2012-04-01,56.779999,58.290001,51.009998,56.369999,51.973927,100595300
2012-05-01,56.380001,57.630001,46.509998,47.930000,44.192135,119232800
2012-06-01,46.779999,50.840000,44.230000,50.400002,46.469505,127161200
2012-07-01,50.040001,52.630001,47.939999,51.230000,47.343231,77020800
2012-08-01,51.529999,54.639999,49.080002,52.740002,48.738670,89265500
2012-09-01,52.669998,59.799999,51.880001,55.689999,51.464848,71455000
2012-10-01,56.200001,57.470001,52.709999,53.770000,49.789299,89172300
2012-11-01,53.759998,54.849998,50.049999,53.009998,49.085552,95369600
2012-12-01,53.810001,56.130001,52.139999,54.080002,50.076340,74246200
2013-01-01,55.470001,59.279999,54.380001,58.099998,54.110012,60830800
2013-02-01,58.330002,59.900002,55.720001,57.970001,53.988934,75583400
2013-03-01,57.380001,62.660000,56.889999,60.490002,56.335873,81086800
2013-04-01,60.520000,60.849998,54.040001,57.369999,53.579407,117157600
2013-05-01,57.070000,63.299999,55.959999,60.389999,56.399857,110294200
2013-06-01,60.700001,61.820000,55.990002,58.180000,54.335888,78704800
2013-07-01,58.560001,63.310001,58.119999,62.349998,58.428387,67766400
2013-08-01,63.200001,64.419998,60.180000,62.000000,58.100395,79843200
2013-09-01,62.880001,66.800003,62.209999,65.849998,61.708256,61316300
2013-10-01,65.809998,73.760002,64.970001,69.580002,65.321327,131257800
2013-11-01,69.949997,71.370003,65.970001,67.779999,63.631508,132212600
2013-12-01,67.959999,69.309998,64.269997,68.529999,64.335617,97969100
2014-01-01,68.120003,69.089996,64.360001,65.750000,61.803753,102857100
2014-02-01,65.739998,71.269997,63.669998,69.690002,65.507278,81853000
2014-03-01,69.320000,72.559998,67.540001,71.830002,67.518837,68906300
