Date,Open,High,Low,Close,Adj Close,Volume
2001-02-01,33.500000,35.401043,30.333334,32.302082,31.510740,564600
2001-03-01,31.968750,32.645832,20.333334,25.468750,24.844803,1250700
2001-04-01,25.197916,31.066668,22.265625,30.416666,29.671505,2193900
2001-05-01,30.483334,34.866665,28.366667,33.049999,32.240318,2420400
2001-06-01,33.266666,36.433334,31.616667,33.266666,32.451675,7559700
2001-07-01,33.299999,33.436668,27.216667,29.000000,28.289545,13376700
2001-08-01,29.083334,30.466667,26.633333,29.266666,28.549679,8897100
2001-09-01,29.266666,30.250000,22.666666,24.783333,24.176182,8915700
2001-10-01,24.833334,30.466667,24.136667,28.766666,28.061928,9084900
2001-11-01,28.799999,32.183334,27.516666,31.516666,30.744555,12504900
2001-12-01,31.100000,32.673332,29.216667,30.350000,29.606474,14963700
2002-01-01,30.166666,30.283333,24.799999,26.100000,25.460590,20395200
2002-02-01,26.366667,27.116667,23.716667,24.816668,24.208693,18157500
2002-03-01,24.333334,27.580000,24.116667,25.700001,25.070393,9237900
2002-04-01,25.666666,26.033333,20.600000,21.633333,21.103346,24188100
2002-05-01,21.799999,21.863333,18.936666,19.316668,18.843439,35561700
2002-06-01,19.173334,19.383333,15.470000,17.000000,16.583527,37722300
2002-07-01,16.750000,17.426666,13.216666,17.200001,16.778627,74099700
2002-08-01,17.200001,18.413334,15.533334,16.333334,15.933189,61923000
2002-09-01,15.933333,16.933332,14.293333,15.416667,15.038981,35271900
2002-10-01,15.483334,17.360001,14.700000,17.033333,16.616041,43821900
2002-11-01,17.026667,19.006666,16.850000,18.626667,18.170341,21079200
2002-12-01,19.000000,19.033333,16.316668,16.450001,16.047001,21226500
2003-01-01,16.750000,18.000000,16.083334,16.190001,15.793370,24116700
2003-02-01,16.133333,16.266666,15.323334,15.950000,15.559250,11786100
2003-03-01,15.993333,17.633333,15.400000,17.066668,16.648561,18701400
2003-04-01,17.066668,19.333334,16.666666,19.100000,18.632076,20434800
2003-05-01,19.000000,22.766666,18.756666,22.686666,22.130877,29589300
2003-06-01,23.766666,25.836666,21.716667,22.330000,21.782944,53731500
2003-07-01,22.033333,24.790001,21.700001,24.383333,23.785976,33615600
2003-08-01,24.299999,24.733334,21.570000,24.586666,23.984327,32442300
2003-09-01,24.620001,26.603333,23.106667,23.916666,23.330744,41408400
2003-10-01,24.000000,25.483334,22.766666,23.663334,23.083620,43634400
2003-11-01,23.966667,23.966667,21.900000,23.116667,22.550343,31646400
2003-12-01,23.350000,24.430000,22.400000,23.983334,23.395781,31850400
2004-01-01,24.346666,26.540001,24.206667,25.616667,24.989094,27795600
2004-02-01,25.850000,26.613333,25.000000,25.833334,25.200462,29812200
2004-03-01,26.036667,27.216667,24.286667,25.763334,25.132168,44802300
2004-04-01,25.799999,28.333334,25.763334,25.920000,25.284998,55391100
2004-05-01,25.773333,26.666666,24.250000,25.200001,24.582642,75908400
2004-06-01,25.233334,25.600000,23.733334,25.033333,24.420053,62393700
2004-07-01,25.166666,25.166666,21.250000,22.616667,22.062593,51502800
2004-08-01,22.400000,23.116667,20.406666,22.566668,22.013819,47041500
2004-09-01,22.683332,24.160000,22.586666,23.309999,22.738943,43841100
2004-10-01,23.500000,24.059999,21.500000,22.690001,22.134123,57748200
2004-11-01,22.733334,24.170000,22.250000,23.500000,22.924282,37715700
2004-12-01,23.536667,25.396667,23.536667,25.133333,24.517603,47472000
2005-01-01,25.283333,25.313334,23.146667,23.746666,23.164907,54745800
2005-02-01,23.783333,24.373333,22.530001,22.766666,22.208912,56045100
