Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,51.779999,52.139999,47.459999,48.139999,41.547791,737500
2006-06-01,48.150002,49.080002,44.990002,47.169998,40.710621,455700
2006-07-01,47.250000,48.240002,45.160000,47.500000,41.027740,952800
2006-08-01,47.250000,47.950001,45.400002,47.650002,41.157307,515900
2006-09-01,47.730000,49.230000,47.400002,48.820000,42.167881,192700
2006-10-01,48.779999,51.689999,48.599998,50.700001,43.842854,633400
2006-11-01,50.770000,53.200001,49.980000,52.799999,45.658836,477600
2006-12-01,53.000000,54.060001,52.250000,53.439999,46.212276,381200
2007-01-01,53.580002,55.560001,52.970001,55.439999,48.004852,620100
2007-02-01,55.660000,58.080002,54.779999,55.450001,48.013519,1053400
2007-03-01,54.520000,57.490002,54.090000,56.520000,48.940041,1134800
2007-04-01,56.700001,59.110001,56.419998,58.580002,50.764675,690100
2007-05-01,58.799999,62.520000,58.349998,62.470001,54.135696,370000
2007-06-01,62.950001,63.700001,60.919998,62.830002,54.447666,452300
2007-07-01,62.900002,66.820000,62.900002,63.730000,55.274483,1286400
2007-08-01,63.959999,66.239998,59.430000,65.089996,56.454056,2594500
2007-09-01,65.050003,70.209999,63.410000,69.629997,60.391685,2292400
2007-10-01,70.089996,71.760002,67.260002,70.970001,61.605469,2542300
2007-11-01,70.519997,71.650002,65.430000,68.800003,59.721790,1975500
2007-12-01,68.430000,73.000000,66.440002,67.930000,58.966614,1054200
2008-01-01,67.870003,68.050003,55.459999,62.209999,54.080383,2421200
2008-02-01,62.349998,63.849998,60.080002,60.299999,52.419979,1605300
2008-03-01,60.000000,60.720001,55.939999,59.070000,51.350719,1415200
2008-04-01,59.419998,64.510002,59.419998,63.740002,55.487053,921700
2008-05-01,63.580002,66.839996,62.750000,64.769997,56.383686,893400
2008-06-01,64.779999,64.779999,54.070000,54.240002,47.217098,1567900
2008-07-01,53.849998,57.619999,52.299999,56.310001,49.087250,1415400
2008-08-01,56.310001,60.090000,55.619999,58.910000,51.353752,955600
2008-09-01,59.810001,60.599998,48.930000,50.939999,44.406044,1236500
2008-10-01,51.619999,51.619999,35.049999,43.590000,38.081226,1201100
2008-11-01,43.590000,45.540001,32.790001,39.270000,34.307167,1140600
2008-12-01,37.779999,41.730000,35.730000,41.279999,36.063156,998300
2009-01-01,41.450001,43.900002,38.430000,40.139999,35.231014,1226900
2009-02-01,39.480000,41.049999,32.340000,32.430000,28.463917,1379300
2009-03-01,31.610001,35.549999,28.330000,33.529999,29.429390,1445000
2009-04-01,33.110001,40.669998,32.630001,39.430000,34.724308,1359800
2009-05-01,39.669998,42.509998,39.500000,41.980000,36.969994,1196200
2009-06-01,42.680000,45.970001,39.959999,40.790001,35.922005,870300
2009-07-01,40.810001,42.730000,37.849998,42.090000,37.199886,884500
2009-08-01,42.270000,45.750000,42.020000,44.730000,39.533157,431300
2009-09-01,44.439999,48.950001,43.840000,48.049999,42.467430,692500
2009-10-01,48.040001,49.400002,45.060001,45.060001,39.923805,660800
2009-11-01,45.169998,49.549999,44.830002,48.410000,42.891937,621900
2009-12-01,49.240002,53.389999,48.970001,50.959999,45.151279,1322300
2010-01-01,51.689999,54.480000,50.560001,50.730000,45.203480,1111200
2010-02-01,50.779999,53.590000,49.040001,53.430000,47.609344,524700
2010-03-01,53.560001,58.650002,53.450001,57.840000,51.538929,2084800
2010-04-01,58.290001,60.860001,57.340000,58.919998,52.567593,2200800
2010-05-01,59.139999,60.349998,25.910000,53.570000,47.794395,1642900
2010-06-01,52.689999,54.820000,49.419998,49.700001,44.341648,9038400
2010-07-01,49.660000,54.810001,48.500000,53.400002,47.757168,935700
2010-08-01,54.180000,54.540001,47.709999,49.070000,43.884720,983500
2010-09-01,49.770000,55.000000,49.770000,53.880001,48.186440,942600
2010-10-01,54.639999,57.299999,52.919998,56.849998,51.005581,402300
2010-11-01,57.029999,58.770000,54.549999,56.299999,50.512127,538700
2010-12-01,57.060001,59.150002,57.060001,58.849998,52.799976,440200
2011-01-01,59.130001,63.450001,58.930000,62.320000,56.063820,577300
2011-02-01,62.459999,64.900002,61.689999,62.939999,56.621552,482100
2011-03-01,63.139999,64.300003,60.189999,64.230003,57.782055,643700
2011-04-01,64.699997,65.139999,60.950001,64.760002,58.383053,336400
2011-05-01,65.000000,65.900002,62.840000,64.519997,58.166679,221000
2011-06-01,64.449997,65.680000,61.340000,65.639999,59.176403,281900
2011-07-01,65.720001,66.879997,60.689999,61.970001,56.015594,1936600
2011-08-01,62.250000,62.250000,50.910000,58.139999,52.553589,1586900
2011-09-01,58.610001,58.610001,52.790001,54.500000,49.263344,471900
2011-10-01,54.000000,61.709999,51.740002,59.910000,54.316547,296100
2011-11-01,58.270000,61.540001,55.970001,60.939999,55.250370,474200
2011-12-01,60.869999,61.910000,58.590000,61.189999,55.477028,298500
2012-01-01,62.160000,65.050003,60.939999,64.339996,58.534008,222700
2012-02-01,64.699997,67.779999,64.699997,66.800003,60.772053,351200
2012-03-01,66.980003,68.110001,65.000000,67.129997,61.072250,265200
2012-04-01,66.930000,67.879997,63.970001,66.830002,60.955818,151300
2012-05-01,66.860001,67.360001,61.000000,61.779999,56.349689,185500
2012-06-01,60.669998,64.070000,59.689999,64.000000,58.374554,159100
2012-07-01,64.089996,64.669998,61.360001,63.119999,57.787014,120900
2012-08-01,63.060001,65.980003,61.389999,64.519997,59.068737,110400
2012-09-01,64.529999,67.139999,63.680000,65.250000,59.737057,116500
2012-10-01,65.650002,67.160004,64.790001,65.750000,60.407143,140300
2012-11-01,65.839996,67.500000,62.680000,67.330002,61.858742,200500
2012-12-01,67.440002,68.580002,66.370003,68.250000,62.703983,147900
2013-01-01,69.709999,71.400002,69.089996,69.099998,64.188446,129100
2013-02-01,69.629997,71.570000,68.970001,71.190002,66.129890,145200
2013-03-01,70.339996,75.279999,70.129997,74.739998,69.427536,161400
2013-04-01,75.099998,75.820000,71.830002,75.680000,70.525032,116900
2013-05-01,75.599998,81.790001,75.080002,80.709999,75.212402,149800
2013-06-01,80.790001,83.010002,78.910004,81.550003,75.995201,448500
2013-07-01,83.379997,89.059998,80.980003,88.500000,82.700569,541400
2013-08-01,89.230003,92.480003,86.809998,86.930000,81.233444,953200
2013-09-01,87.300003,99.290001,87.300003,91.889999,85.868401,668300
2013-10-01,91.860001,97.650002,89.019997,96.879997,90.964531,997400
2013-11-01,96.879997,105.000000,96.769997,103.070000,96.776581,1065600
2013-12-01,103.430000,106.480003,99.889999,105.680000,99.227226,1057900
2014-01-01,105.680000,110.589996,103.000000,105.239998,99.098091,1526800
2014-02-01,105.750000,110.769997,100.580002,109.639999,103.241318,1155900
2014-03-01,108.930000,112.540001,106.160004,109.160004,102.789337,999500
2014-04-01,109.309998,111.349998,103.800003,108.680000,102.536659,981800
2014-05-01,108.690002,111.919998,106.019997,109.919998,103.706581,961300
2014-06-01,109.809998,114.419998,107.510002,107.839996,101.744133,1627900
2014-07-01,107.989998,109.320000,102.449997,102.660004,97.445206,1920600
2014-08-01,102.500000,109.919998,102.000000,108.669998,103.149910,579300
2014-09-01,108.919998,111.650002,106.660004,107.580002,102.115288,692400
2014-10-01,107.370003,111.629997,98.400002,111.199997,105.798355,1122400
2014-11-01,111.489998,114.779999,110.470001,114.150002,108.605072,647400
2014-12-01,114.059998,116.989998,108.199997,114.690002,109.118843,670500
2015-01-01,115.629997,117.220001,111.120003,114.410004,109.090363,1108600
2015-02-01,114.290001,125.190002,113.459999,123.330002,117.595619,1671800
2015-03-01,123.370003,125.529999,120.669998,123.779999,118.024681,1555500
2015-04-01,123.610001,125.849998,119.750000,120.099998,114.983162,1165300
2015-05-01,120.820000,124.720001,119.470001,121.559998,116.380981,700500
2015-06-01,121.760002,123.879997,118.790001,119.139999,114.064087,777300
2015-07-01,120.040001,122.639999,114.900002,118.040001,113.231987,702600
2015-08-01,118.099998,121.379997,85.339996,113.480003,108.857735,964700
2015-09-01,112.349998,116.470001,106.940002,109.019997,104.579376,1309500
2015-10-01,109.089996,119.120003,107.139999,118.239998,113.687012,909000
2015-11-01,118.360001,121.309998,114.510002,119.949997,115.331161,1868100
2015-12-01,120.500000,121.129997,115.070000,118.220001,113.667793,1499500
2016-01-01,116.370003,118.330002,104.370003,109.419998,105.406265,2852400
2016-02-01,108.730003,113.070000,101.099998,112.169998,108.055382,1798500
2016-03-01,112.290001,119.070000,111.760002,116.889999,112.602242,894700
2016-04-01,116.199997,123.949997,115.440002,121.870003,117.714996,1201400
2016-05-01,122.150002,125.160004,120.480003,124.029999,119.801369,1984900
2016-06-01,123.790001,127.430000,118.730003,124.930000,120.670685,1458900
2016-07-01,125.010002,130.460007,122.309998,129.509995,125.409012,2186300
2016-08-01,129.500000,133.149994,128.729996,130.210007,126.086884,1300000
2016-09-01,130.940002,132.220001,125.980003,129.059998,124.973274,1135000
2016-10-01,128.699997,131.050003,124.699997,130.270004,126.494781,1237900
2016-11-01,130.529999,144.990005,127.389999,143.309998,139.156876,8371700
2016-12-01,143.649994,146.759995,140.300003,140.520004,136.447769,5979100
2017-01-01,141.630005,144.539993,140.199997,142.389999,138.766754,5954900
2017-02-01,142.940002,153.240005,141.550003,151.770004,147.908096,5004000
2017-03-01,153.610001,154.460007,145.000000,148.720001,144.935669,5736800
2017-04-01,148.919998,155.190002,147.300003,153.759995,150.164200,3829500
2017-05-01,153.869995,158.000000,149.169998,157.809998,154.119461,4929100
2017-06-01,158.169998,160.619995,155.020004,157.350006,153.670242,3478100
2017-07-01,157.910004,166.350006,157.800003,164.899994,161.431808,3517800
2017-08-01,165.470001,171.119995,164.580002,170.960007,167.364380,6277900
2017-09-01,171.449997,178.949997,166.839996,178.039993,174.295456,6544500
2017-10-01,178.630005,184.600006,178.339996,180.470001,177.383606,5772800
2017-11-01,180.830002,186.139999,177.119995,185.839996,182.661774,5371300
2017-12-01,186.149994,189.740005,180.419998,188.110001,184.892960,4501300
2018-01-01,188.960007,205.679993,187.509995,203.250000,200.114990,7087500
2018-02-01,202.809998,206.559998,184.169998,202.869995,199.740860,9853600
2018-03-01,202.990005,205.669998,193.809998,197.960007,194.906616,6442800
2018-04-01,197.649994,207.470001,192.039993,192.350006,189.778824,6892100
2018-05-01,191.669998,202.470001,184.580002,199.089996,196.428711,6577300
2018-06-01,200.000000,205.490005,189.149994,192.470001,189.897202,6932500
2018-07-01,191.210007,206.220001,190.460007,205.839996,203.548843,5065000
2018-08-01,205.350006,209.690002,200.449997,207.470001,205.160675,4649500
2018-09-01,207.500000,218.789993,206.029999,216.429993,214.020966,3782300
2018-10-01,217.869995,218.830002,182.350006,191.720001,190.352280,7984200
2018-11-01,192.960007,201.800003,183.610001,192.009995,190.640198,5663100
2018-12-01,195.550003,196.679993,160.289993,172.860001,171.626816,10772300
2019-01-01,169.990005,195.710007,168.009995,194.500000,193.354370,4741400
2019-02-01,195.250000,211.330002,194.020004,209.119995,207.888245,7288100
2019-03-01,210.500000,210.690002,193.979996,199.580002,198.404434,5882800
2019-04-01,201.399994,210.559998,198.199997,209.619995,208.998978,3181200
2019-05-01,210.500000,213.000000,200.490005,201.940002,201.341736,3552000
2019-06-01,201.250000,216.500000,200.929993,214.210007,213.575394,2804000
2019-07-01,216.339996,220.600006,210.539993,215.279999,215.279999,3307700
2019-08-01,215.380005,222.940002,204.190002,221.809998,221.809998,3505700
2019-09-01,219.649994,231.979996,217.490005,227.740005,227.740005,3203000
