;GDX_materials;XLB_materials;VAW_materials;VFH_financials;XLF_financials;KRE_financials;VCR_consumer_disc;XLY_consumer_disc;IYC_consumer_disc;VDE_energy;XLE_energy;XOP_energy;VHT_healthcare;IBB_healthcare;XLV_healthcare;VPU_utilities;IDU_utilities;XLU_utilities;IYZ_telecom;VOX_telecom;IXP_telecom;VDC_consumer_staples;IEV_consumer_staples;XLP_consumer_staples;VIS_industrials;ITA_industrials;XLI_industrials;QQQ_tech;XLK_tech;VGT_tech;RWR_real_estate;VNQ_real_estate;IYR_real_estate;T10Y2Y;FEDFUNDS;Inverted
2000-02-29;;20.984375;;;16.729284;;;25.6875;;;26.15625;;;;28.140625;;;24.28125;;;;;;20.515625;;;25.6875;106.75;55.875;;;;;-0.091;5.73;1
2000-03-31;;23.046875;;;19.712124;;;29.265625;;;29.3125;;;;30.671875;;;26.734375;;;;;;21.21875;;;29.203125;109.5;60.5625;;;;;-0.2717391304347826;5.85;1
2000-04-30;;22.28125;;;19.902519;;;28.65625;;;28.875;;;;30.3125;;;28.484375;;;;;;22.34375;;;29.625;94.75;55.0;;;;;-0.41315789473684217;6.02;1
2000-05-31;;21.578125;;;20.346771;;;27.109375;;;32.265625;;;;29.5;;;28.421875;57.625;;;;;23.9375;;;29.5;83.125;49.28125;;;;;-0.3690909090909091;6.27;1
2000-06-30;;19.640625;;;19.293257;;;25.59375;;;30.34375;;;;29.5625;;65.78125;27.25;60.28125;;;;;25.234375;;;28.28125;93.4375;54.1875;;;;35.375;-0.3845454545454546;6.53;1
2000-07-31;;19.8125;;;20.99411;;;26.0;;;29.1875;;;;29.125;;70.25;27.671875;55.4375;;;;39.03125;24.3125;;;28.71875;89.4375;51.3125;;;;37.296875;-0.2849999999999999;6.54;1
2000-08-31;;20.265625;;;23.126524;;;24.921875;;;32.375;;;;30.15625;;79.6875;28.75;54.0625;;;;39.53125;24.015625;;;31.5625;101.625;56.53125;;;;36.734375;-0.4026086956521738;6.5;1
2000-09-30;;18.171875;;;23.558083;;;24.890625;;;32.765625;;;;29.0625;;86.96875;32.28125;51.1875;;;;38.132813;24.984375;;;30.5625;88.75;46.375;;;;37.875;-0.2825;6.52;1
2000-10-31;;19.765625;;;23.354996;;;24.578125;;;31.875;;;;29.5;;82.90625;34.15625;51.6875;;;;36.40625;26.71875;;;31.25;81.703125;43.71875;;;;35.275002;-0.1738095238095238;6.51;1
2000-11-30;;19.265625;;;22.16186;;;23.96875;;;30.203125;;;;26.8125;;82.84375;34.140625;42.0625;;;;36.21875;27.640625;;;30.1875;62.984375;34.75;;;;36.0;-0.1580952380952381;6.51;1
2000-12-31;;21.421875;;;23.964256;;;25.59375;;;33.1875;;;;27.25;;88.78125;33.1875;38.8125;;;;38.34375;28.5625;;;31.25;58.375;31.3125;;;;37.974998;-0.1115;6.4;1
2006-02-28;;31.059999;62.630001;57.970001;26.506905;;53.740002;33.470001;;75.050003;52.34;;55.619999;28.036667;32.5;67.550003;79.120003;32.57;24.92;59.700001;49.470001;56.779999;42.814999;23.530001;60.299999;;32.490002000000004;41.099998;21.65;49.77;74.269997;65.239998;70.050003;-0.0994736842105263;4.49;1
2006-03-31;;32.349998;65.879997;58.369999;26.441917;;54.599998;33.66;;78.589996;54.400002;;55.209999;27.459999;31.98;64.529999;75.629997;30.83;25.879999;62.580002;51.509998;57.450001;44.424999;23.6;63.07;;33.799999;41.93;22.139999;50.939999;77.800003;67.91999799999999;73.5;-0.010000000000000005;4.59;1
2006-06-30;38.700001;32.099998;64.389999;57.68;26.271324;48.189999;53.330002;33.389999;;82.0;56.75;38.990002;52.349998;24.233334;30.24;67.58000200000001;79.050003;32.290001000000004;25.65;62.060001;52.5;58.91;45.674999;24.190001;62.599998;47.169998;33.810001;38.77;20.33;46.23;75.980003;66.300003;71.25;-0.015454545454545457;4.99;1
